words,sentiment_coeff
10x,-1.130246261808837
better,-1.0936893087608468
then,-1.1050110140030458
the,-1.4196663367946778
st,-1.1290998940545436
i'm,-1.0490392149948156
only,-1.1186633301313316
giving,-1.118155882563064
it,-1.3694371756675259
this,-1.3669756596290035
many,-1.0718485708912733
stars,-1.0859177503889923
because,-1.1650220337273205
of,-1.2958516792364712
music,-1.081836700756064
and,-1.4047962864975816
darth,-1.0616463901328947
maul,-1.0457398732792706
fight,-1.1133800762675818
no,-0.9922430327269777
star,-1.1908186942252548
wars,-1.1860222873242474
movie,-1.3532412366753812
falls,-1.1221993965507178
below,-1.1837875919062602
7/10,-1.0375633563818945
"threshold,",-1.248678460970387
but,-1.3325369627121748
one,-1.2065437375603099
came,-1.0971908003151258
close!,-1.1314068941619995
still,-1.1370229309589746
a,-1.2947103753834666
love,-1.0909868097428332
story,-1.1484560747478931
than,-1.0837268656313432
twilight,-1.1192348035788313
plot,-1.0850811682734425
that,-1.3729082093101146
last,-1.0981663403358752
jedi,-1.0843484371570564
is,-1.2645432987872163
so,-1.1105691105290818
good,-1.18931446428921
at,-1.0748500968861416
too,-1.0708850792145852
10,-1.1201128829909353
times,-1.0662510527961786
disney,-1.088996000070576
triology,-1.1381567373255939
maybe,-1.122932955115464
was,-1.1659052396224445
decades,-1.136437593132072
anticipation,-1.2256034039475607
perhaps,-1.1093726582215817
we,-1.0787217840696208
just,-1.2300669834638696
expected,-1.164707210307844
magic,-1.1464470934779563
truth,-1.1117786133338596
"is,",-1.0970450201125759
isn't,-1.1190126654268313
an,-1.0724441222272747
awful,-1.114622800227746
neither,-1.1382650705368555
best,-1.1310866481531259
to,-1.2905110531965838
skip,-1.1105531071054002
re-watch,-1.06657234322975
original,-1.1050365654820158
trilogy,-1.1517998619242247
again,-1.1621820948355284
in,-1.3066400879603566
"hindsight,",-1.1002870601355137
jumping,-1.1713491872174573
back,-1.1237961407471626
into,-1.0319106594023129
film,-1.2246269567577008
making,-1.1894763805177206
after,-1.0815224101048302
year,-1.0727562097458128
hiatus,-1.1002131864382112
attempting,-1.1814149786345338
make,-1.1379774606010036
most,-1.0956015788154587
highly,-1.072037578896362
anticipated,-1.13308518888889
films,-1.13587753940417
"ever,",-1.1343961657277855
wasn't,-1.1185179529122344
such,-1.0648375726160137
great,-1.1777270091525214
idea,-1.1107931274550285
confusing,-1.0455211827353181
boring,-1.0872340073022007
truly,-1.1770506282107682
unwatchable,-1.1427067113314537
once,-1.098879458779661
you,-1.0941654514950758
can,-1.0842758707802407
finally,-1.0974940311905659
figure,-1.1285271378612873
out,-1.1018345629988768
what,-1.0995016079969784
supposed,-1.1494841259734663
be,-1.118393445019576
going,-1.1646807908135839
on,-1.1125077487720518
actually,-1.1918906676215564
quite,-1.106978803542367
"screenplay,",-1.154369115634042
acting,-1.0922761568158472
execution,-1.12516921306519
very,-1.11611087541229
bad,-1.1130172540186865
hated,-1.156918384123244
way,-1.1123253702428733
much,-1.085349451861478
has,-1.0913149005668377
soundtracks,-1.015133219653639
arguably,-1.1220543806622636
lightsaber,-1.09136906291312
people,-1.1140714314044973
complain,-1.0821110548475514
about,-1.113587795839306
having,-1.1014453403276239
"politics,",-1.1435876974180494
adds,-1.111226846612666
world,-1.1203862480564586
"building,",-1.14169262523456
"besides,",-1.192107757978917
it's,-1.1180214125207284
crucial,-1.2540023906596285
point,-1.0975099631261807
for,-1.2014866498729406
how,-1.0691456779696251
palpatine,-1.0910540019032662
comes,-1.106551435051369
rule,-1.132040544347098
galaxy,-1.111672358508091
with,-1.2444407623828073
cgi,-1.0701326406402032
holds,-1.1266383290646964
up,-1.0756501262138227
today,-1.136628209771942
amazing,-1.1656606422134512
practical,-1.0816566073394196
"effects,",-1.1048576561755137
also,-1.158282827189745
makes,-1.0676542805530944
some,-1.140454240178927
nice,-1.1153128076049499
eye,-1.1072589231939385
candy,-1.0819233280725384
terrible,-1.0951024544306178
i,-1.1662062939325362
excited,-1.1522548652046365
went,-1.100920278013216
open,-1.1190460382041303
mind,-1.1061280266056692
despite,-1.0619311354140166
butchery,1.343310929760745
committed,-1.1625082092504078
through,-1.0527515633013191
remasters,-1.241608850099268
